Domain,Category
https://digiato.com,Technology or gaming
https://www.zoomit.ir,Technology or gaming
https://techrato.com,Technology or gaming
https://farsisaz.com,Technology or gaming
https://www.yasdl.com,Technology or gaming
https://du.ac.ir,University
https://ut.ac.ir,University
https://shomal.ac.ir,University
https://sbmu.ac.ir,University
https://guilan.ac.ir,University
https://maktabkhooneh.org,Education
https://faradars.org,Education
https://codeyad.com,Education
https://7learn.com,Education
https://sariasan.com,Education
https://chishi.ir,Cooking
https://rezim.ir,Cooking
https://irancook.com,Cooking
https://ashpaz.tv,Cooking
https://meryemcooking.com,Cooking
https://www.filimo.com,Movie and serial
https://www.film2movie.asia,Movie and serial
https://hexdl.com,Movie and serial
https://30nama.com,Movie and serial
https://www.varzesh3.com,Sport
https://www.khabarvarzeshi.com,Sport
https://www.tarafdari.com,Sport
https://www.eligasht.com,Travel
https://flightio.com,Travel
https://nobitex.ir,Cryptocurrency
https://wallex.ir,Cryptocurrency
https://www.rangehonar.com,Art
https://www.nabavishop.com,Art
