Domain,Category
http://www.varzesh3.com,Sport
https://www.shahrekhabar.com,Sport
https://www.filimo.com,Film
https://www.aparat.com,Film
https://salamat.ir,Health & Medical
https://salamat.life,Health & Medical
https://jobinja.ir,Job
https://www.e-estekhdam.com,Job
https://www.accuweather.com,Weather
https://irimo.ir,Weather
http://www.ashpaziha.com,Cooking
https://chishi.ir,Cooking
https://honari.com,Art
https://www.rangehonar.com,Art
https://www.bmi.ir,Bank 
https://www.bankmellat.ir/default.aspx,Bank
https://www.sooyekhoda.ir,Religious
https://www.aviny.com,Religious
https://www.eligasht.com,Travel
https://flightio.com,Travel
https://ut.ac.ir,University
https://ui.ac.ir,University
https://www.dlfox.com,Game
https://par30games.net,Game
https://www.zoomit.ir,Technology
https://digiato.com,Technology
https://nobitex.ir,Cryptocurrency
https://wallex.ir,Cryptocurrency
https://resultcase.adliran.ir,Legal
https://eadl.ir,Legal
