word,number_of_repetition
در,20
و,14
می,14
های,12
از,9
این,9
شبکه,8
به,7
را,6
کاربران,5
که,5
تحلیل,4
با,4
اطلاعات,4
ترافیک,4
نماید,4
تواند,4
گزارشات,4
برای,4
وب,4
خود,4
مدیریت,4
سطح,4
شده,4
رفتار,3
خصوص,3
برنامه,3
ریزی,3
داده,3
اپراتور,3
استفاده,3
است,3
کشینگ,3
ارائه,3
شود,3
بسیار,3
مختلف,3
حوزه,3
ترافیکی,2
بزرگ,2
حال,2
یکی,2
راهبری,2
باشد,2
ماهیت,2
تصمیم,2
گیری,2
فنی,2
تهیه,2
ها,2
اولیه,2
بررسی,2
دستگاه,2
موجود,2
بینش,2
تجاری,2
مشتریان,2
مورد,2
قرار,2
گیرد,2
اپراتورهای,2
کند,2
شرکت,2
نصب,2
ثابت,2
همراه,2
تجهیزات,2
رشد,1
ابزارهای,1
موثر,1
مختلفی,1
عبوری,1
دریافت,1
راهبردی,1
تحلیلی,1
چالش,1
جمع,1
آوری,1
دلیل,1
عملکردی,1
بخش,1
قابل,1
توجهی,1
پردازش,1
هرچند,1
ای,1
پنل,1
ولی,1
دریافتی,1
محدود,1
چارچوب,1
سوی,1
دیگر,1
عملیات,1
پردازشی,1
لاگ,1
دسترسی,1
حاوی,1
ارزشمندی,1
تولید,1
چنانچه,1
نگاه,1
ابزار,1
مناسب,1
خوب,1
لایه,1
کارشناسی,1
فراهم,1
آورد,1
همچنین,1
قالب,1
هوش,1
فروش,1
پیش,1
بینی,1
سرویس,1
خاص,1
گروه,1
اثر,1
گذاری,1
طرح,1
اجرائی,1
واحد,1
بازاریابی,1
مخابراتی,1
بالاست,1
عمیق,1
تری,1
نسبت,1
پائین,1
تا,1
بالای,1
سیاست,1
کار,1
گرفته,1
مهندسی,1
چاووش,1
توجه,1
حضور,1
فعال,1
سابقه,1
سیستم,1
وای,1
مکس,1
نیاز,1
آشنا,1
تاثیر,1
آن,1
کمک,1
شناسائی,1
کرده,1
توسط,1
حاضر,1
بیشتر,1
15,1
کشور,1
مجموعا,1
ظرفیتی,1
برابر,1
300,1
گیگابیت,1
ثانیه,1
عبور,1
حجم,1
نمونه,1
جامعی,1
پوشش,1
دهد,1
